Frame,Angle,Method
1,188.20,leaflet
2,187.01,leaflet
3,186.80,leaflet
4,186.91,leaflet
5,187.26,leaflet
6,187.86,leaflet
7,187.86,leaflet
8,186.62,leaflet
9,187.50,leaflet
10,187.35,leaflet
11,187.14,leaflet
12,187.68,leaflet
13,187.12,leaflet
14,186.92,leaflet
15,187.28,leaflet
16,187.43,leaflet
17,186.92,leaflet
18,187.28,leaflet
19,187.84,leaflet
20,187.12,leaflet
21,186.92,leaflet
22,186.74,leaflet
23,186.74,leaflet
24,186.94,leaflet
25,186.40,leaflet
26,187.48,leaflet
27,187.68,leaflet
28,187.48,leaflet
29,187.28,leaflet
30,188.48,leaflet
31,189.39,leaflet
32,189.92,leaflet
33,190.27,leaflet
34,191.49,leaflet
35,191.98,leaflet
36,191.70,leaflet
37,191.92,leaflet
38,192.46,leaflet
39,191.53,leaflet
40,191.28,leaflet
41,190.97,leaflet
42,190.59,leaflet
43,189.65,leaflet
44,189.62,leaflet
45,189.48,leaflet
46,188.51,leaflet
47,186.94,leaflet
48,187.17,leaflet
49,187.03,leaflet
50,187.17,leaflet
51,187.66,leaflet
52,187.21,leaflet
53,187.17,leaflet
54,187.17,leaflet
55,185.75,leaflet
56,186.99,leaflet
57,186.42,leaflet
58,186.42,leaflet
59,186.18,leaflet
60,186.71,leaflet
61,186.55,leaflet
62,185.93,leaflet
63,186.69,leaflet
64,185.79,leaflet
65,186.12,leaflet
66,185.77,leaflet
67,185.95,leaflet
68,185.64,leaflet
69,186.61,leaflet
70,185.64,leaflet
71,185.85,leaflet
72,185.46,leaflet
73,185.27,leaflet
74,185.64,leaflet
75,185.46,leaflet
76,185.47,leaflet
77,185.13,leaflet
78,185.13,leaflet
79,184.60,leaflet
80,184.79,leaflet
81,184.95,leaflet
82,184.40,leaflet
83,183.84,leaflet
84,183.09,leaflet
85,183.27,leaflet
86,182.72,leaflet
87,181.76,leaflet
88,181.76,leaflet
89,181.18,leaflet
90,180.81,leaflet
91,180.99,leaflet
92,180.23,leaflet
93,179.85,leaflet
94,178.31,leaflet
95,178.69,leaflet
96,177.72,leaflet
97,176.52,leaflet
98,175.93,leaflet
99,175.51,leaflet
100,174.34,leaflet
101,173.49,leaflet
102,172.04,leaflet
103,171.06,leaflet
104,168.83,leaflet
105,168.24,leaflet
106,164.32,leaflet
107,161.25,leaflet
108,162.22,leaflet
109,161.84,leaflet
110,160.58,leaflet
111,158.17,leaflet
112,157.18,leaflet
113,155.99,leaflet
114,154.22,leaflet
115,152.23,leaflet
116,150.45,leaflet
117,147.89,leaflet
118,146.15,leaflet
119,144.02,leaflet
120,141.19,leaflet
121,138.41,leaflet
122,135.62,leaflet
123,132.29,leaflet
124,129.83,leaflet
125,126.45,leaflet
126,54.72,laser
127,53.15,laser
128,51.56,laser
129,48.74,laser
130,46.19,laser
131,43.81,laser
132,40.78,laser
133,38.33,laser
134,34.61,laser
135,31.40,laser
136,26.27,laser
137,26.11,laser
138,21.14,laser
139,22.68,laser
140,22.87,laser
141,22.69,laser
142,22.43,laser
143,21.89,laser
144,22.38,laser
145,22.20,laser
146,22.62,laser
147,22.34,laser
148,25.12,laser
149,26.91,laser
150,26.78,laser
151,26.73,laser
152,26.82,laser
153,26.73,laser
154,26.74,laser
155,26.88,laser
156,26.89,laser
157,26.85,laser
158,26.82,laser
159,26.78,laser
160,26.82,laser
161,26.72,laser
162,26.76,laser
163,26.87,laser
164,26.67,laser
165,26.70,laser
166,26.83,laser
167,26.86,laser
168,26.74,laser
169,26.84,laser
170,26.78,laser
171,26.78,laser
172,26.78,laser
173,26.85,laser
174,26.79,laser
175,26.79,laser
176,26.76,laser
177,26.82,laser
178,26.80,laser
179,26.87,laser
180,26.86,laser
181,26.81,laser
182,26.86,laser
183,26.84,laser
184,26.82,laser
185,26.90,laser
186,26.80,laser
187,26.76,laser
188,26.79,laser
189,26.82,laser
190,26.79,laser
191,26.91,laser
192,26.78,laser
193,26.69,laser
194,26.76,laser
195,26.76,laser
196,26.84,laser
197,26.77,laser
198,26.71,laser
199,26.83,laser
200,26.80,laser
201,26.87,laser
202,26.87,laser
203,26.83,laser
204,26.73,laser
205,26.73,laser
206,26.69,laser
207,26.65,laser
208,26.67,laser
209,26.80,laser
210,26.83,laser
211,26.92,laser
212,26.83,laser
213,26.84,laser
214,26.86,laser
215,26.82,laser
216,26.80,laser
217,26.80,laser
218,26.75,laser
219,26.88,laser
220,26.80,laser
221,26.81,laser
222,26.82,laser
223,26.83,laser
224,26.69,laser
225,26.89,laser
226,26.78,laser
227,26.79,laser
228,26.74,laser
229,26.62,laser
230,26.70,laser
231,26.70,laser
232,26.74,laser
233,26.64,laser
234,26.66,laser
235,26.67,laser
236,26.68,laser
237,26.78,laser
238,26.90,laser
239,26.84,laser
240,26.70,laser
241,26.69,laser
242,26.65,laser
243,26.79,laser
244,26.85,laser
245,26.89,laser
246,26.83,laser
247,26.74,laser
248,26.70,laser
249,26.77,laser
250,26.82,laser
251,26.75,laser
252,26.87,laser
253,26.89,laser
254,26.90,laser
255,26.93,laser
256,26.80,laser
257,26.88,laser
258,26.92,laser
259,26.88,laser
260,27.00,laser
261,26.93,laser
262,26.82,laser
263,26.86,laser
264,26.90,laser
265,26.83,laser
266,26.84,laser
267,26.81,laser
268,26.79,laser
269,26.92,laser
270,26.92,laser
271,26.89,laser
272,26.87,laser
273,26.85,laser
274,26.74,laser
275,26.73,laser
276,26.76,laser
277,26.75,laser
278,26.74,laser
279,26.71,laser
280,26.67,laser
281,26.74,laser
282,26.80,laser
283,26.82,laser
284,26.82,laser
285,26.81,laser
286,26.86,laser
287,26.77,laser
288,26.85,laser
289,26.83,laser
290,26.94,laser
291,26.91,laser
292,26.88,laser
293,26.84,laser
294,26.89,laser
295,26.79,laser
296,26.95,laser
297,26.91,laser
298,26.87,laser
299,26.89,laser
300,26.78,laser
301,26.80,laser
302,26.72,laser
303,26.77,laser
304,26.84,laser
305,26.81,laser
306,26.73,laser
307,26.79,laser
308,26.86,laser
309,26.96,laser
310,26.94,laser
311,26.85,laser
312,26.75,laser
313,26.70,laser
314,26.68,laser
315,26.64,laser
316,26.65,laser
317,26.71,laser
318,26.62,laser
319,26.56,laser
320,26.63,laser
321,26.66,laser
322,26.58,laser
323,26.59,laser
324,26.71,laser
325,26.61,laser
326,26.62,laser
327,26.55,laser
328,26.63,laser
329,26.78,laser
330,26.70,laser
331,26.71,laser
332,26.74,laser
333,26.75,laser
334,26.78,laser
335,26.77,laser
336,26.74,laser
337,26.76,laser
338,26.77,laser
339,26.80,laser
340,26.70,laser
341,26.71,laser
342,26.74,laser
343,26.81,laser
344,26.57,laser
345,26.68,laser
346,26.63,laser
347,26.65,laser
348,26.66,laser
349,26.52,laser
350,26.71,laser
351,26.57,laser
352,26.69,laser
353,26.75,laser
354,26.69,laser
355,26.67,laser
356,26.67,laser
357,26.59,laser
358,26.59,laser
359,26.61,laser
360,26.53,laser
361,26.65,laser
362,26.56,laser
363,26.52,laser
364,26.53,laser
365,26.59,laser
366,26.61,laser
367,26.65,laser
368,26.53,laser
369,26.72,laser
370,26.69,laser
371,26.74,laser
372,26.75,laser
373,26.69,laser
374,26.63,laser
375,26.49,laser
376,26.70,laser
377,26.67,laser
378,26.73,laser
379,26.74,laser
380,26.65,laser
381,26.52,laser
382,26.76,laser
383,26.62,laser
384,26.73,laser
385,26.75,laser
386,26.77,laser
387,26.84,laser
388,26.76,laser
389,26.70,laser
390,26.68,laser
391,26.65,laser
392,26.66,laser
393,26.69,laser
394,26.75,laser
395,26.72,laser
396,26.68,laser
397,26.81,laser
398,26.76,laser
399,26.69,laser
400,26.57,laser
401,26.58,laser
402,26.77,laser
403,26.70,laser
404,26.71,laser
405,26.78,laser
406,26.77,laser
407,26.73,laser
408,26.74,laser
409,26.66,laser
410,26.81,laser
411,26.76,laser
412,26.72,laser
413,26.85,laser
414,26.84,laser
415,26.76,laser
416,26.70,laser
417,26.73,laser
418,26.65,laser
419,26.69,laser
420,26.65,laser
421,26.77,laser
422,26.77,laser
423,26.75,laser
424,26.77,laser
425,26.57,laser
426,26.71,laser
427,26.72,laser
428,26.66,laser
429,26.69,laser
430,26.66,laser
431,26.66,laser
432,26.56,laser
433,26.53,laser
434,26.65,laser
435,26.51,laser
436,26.63,laser
437,26.69,laser
438,26.62,laser
439,26.75,laser
440,26.80,laser
441,26.69,laser
442,26.74,laser
443,26.74,laser
444,26.84,laser
445,26.66,laser
446,26.79,laser
447,26.86,laser
448,26.73,laser
449,26.69,laser
450,26.62,laser
451,26.76,laser
452,26.72,laser
453,26.68,laser
454,26.68,laser
455,26.67,laser
456,26.80,laser
457,26.78,laser
458,26.70,laser
459,26.81,laser
460,26.68,laser
461,26.68,laser
462,26.68,laser
463,26.71,laser
464,26.74,laser
465,26.68,laser
466,26.58,laser
467,26.63,laser
468,26.67,laser
469,26.85,laser
470,26.84,laser
471,26.82,laser
472,26.51,laser
473,26.57,laser
474,26.61,laser
475,26.56,laser
476,26.55,laser
477,26.73,laser
478,26.75,laser
479,26.75,laser
480,26.71,laser
481,26.69,laser
482,26.71,laser
483,26.58,laser
484,26.62,laser
485,26.76,laser
486,26.69,laser
487,26.65,laser
488,26.67,laser
489,26.59,laser
490,26.64,laser
491,26.64,laser
492,26.55,laser
493,26.67,laser
494,26.59,laser
495,26.66,laser
496,26.63,laser
497,26.65,laser
498,26.62,laser
499,26.54,laser
500,26.57,laser
501,26.60,laser
502,26.63,laser
503,26.63,laser
504,26.72,laser
505,26.63,laser
506,26.64,laser
507,26.65,laser
508,26.69,laser
509,26.65,laser
510,26.73,laser
511,26.69,laser
512,26.63,laser
513,26.70,laser
514,26.69,laser
515,26.62,laser
516,26.72,laser
517,26.70,laser
518,26.69,laser
519,26.74,laser
520,26.79,laser
521,26.70,laser
522,26.82,laser
523,26.78,laser
524,26.84,laser
525,26.70,laser
526,26.67,laser
527,26.71,laser
528,26.75,laser
529,26.75,laser
530,26.83,laser
531,26.77,laser
532,26.81,laser
533,26.76,laser
534,26.83,laser
535,26.79,laser
536,26.88,laser
537,26.73,laser
538,26.83,laser
539,26.82,laser
540,26.80,laser
541,26.77,laser
542,26.77,laser
543,26.85,laser
544,26.74,laser
545,26.69,laser
546,26.81,laser
547,26.63,laser
548,26.84,laser
549,26.81,laser
550,26.79,laser
551,26.80,laser
552,26.87,laser
553,26.78,laser
554,26.68,laser
555,26.79,laser
556,26.74,laser
557,26.74,laser
558,26.74,laser
559,26.81,laser
560,26.66,laser
561,26.73,laser
562,26.77,laser
563,26.71,laser
564,26.71,laser
565,26.68,laser
566,26.65,laser
567,26.72,laser
568,26.70,laser
569,26.83,laser
570,26.78,laser
571,26.70,laser
572,26.71,laser
573,26.68,laser
574,26.83,laser
575,26.72,laser
576,26.55,laser
577,26.69,laser
578,26.59,laser
579,26.57,laser
580,26.66,laser
581,26.70,laser
582,26.72,laser
583,26.85,laser
584,26.72,laser
585,26.76,laser
586,26.78,laser
587,26.68,laser
588,26.66,laser
589,26.74,laser
590,26.74,laser
591,26.72,laser
592,26.77,laser
593,26.76,laser
594,26.74,laser
595,26.78,laser
596,26.73,laser
597,26.68,laser
598,26.69,laser
599,26.77,laser
600,26.69,laser
601,26.73,laser
602,26.80,laser
603,26.72,laser
604,26.72,laser
605,26.67,laser
606,26.78,laser
607,26.66,laser
608,26.72,laser
609,26.68,laser
610,26.74,laser
611,26.68,laser
612,26.74,laser
613,26.62,laser
614,26.77,laser
615,26.72,laser
616,26.70,laser
617,26.73,laser
618,26.70,laser
619,26.77,laser
620,26.66,laser
621,26.63,laser
622,26.82,laser
623,26.66,laser
624,26.60,laser
625,26.71,laser
626,26.64,laser
627,26.73,laser
628,26.72,laser
629,26.66,laser
630,26.73,laser
631,26.75,laser
632,26.73,laser
633,26.72,laser
634,26.77,laser
635,26.77,laser
